Name,Link,Information
A Light in the Attic,https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html,"{'Price': '£51.77', 'Category': 'Poetry', 'Rating': 'Three stars', 'Availability': 'In stock (22 available)'}"
Mesaerion: The Best Science Fiction Stories 1800-1849,https://books.toscrape.com/catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html,"{'Price': '£37.59', 'Category': 'Science Fiction', 'Rating': 'One stars', 'Availability': 'In stock (19 available)'}"
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),https://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html,"{'Price': '£52.29', 'Category': 'Sequential Art', 'Rating': 'Five stars', 'Availability': 'In stock (19 available)'}"
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",https://books.toscrape.com/catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html,"{'Price': '£57.25', 'Category': 'Music', 'Rating': 'Three stars', 'Availability': 'In stock (19 available)'}"
Libertarianism for Beginners,https://books.toscrape.com/catalogue/libertarianism-for-beginners_982/index.html,"{'Price': '£51.33', 'Category': 'Politics', 'Rating': 'Two stars', 'Availability': 'In stock (19 available)'}"
It's Only the Himalayas,https://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html,"{'Price': '£45.17', 'Category': 'Travel', 'Rating': 'Two stars', 'Availability': 'In stock (19 available)'}"
Rip it Up and Start Again,https://books.toscrape.com/catalogue/rip-it-up-and-start-again_986/index.html,"{'Price': '£35.02', 'Category': 'Music', 'Rating': 'Five stars', 'Availability': 'In stock (19 available)'}"
Olio,https://books.toscrape.com/catalogue/olio_984/index.html,"{'Price': '£23.88', 'Category': 'Poetry', 'Rating': 'One stars', 'Availability': 'In stock (19 available)'}"
Set Me Free,https://books.toscrape.com/catalogue/set-me-free_988/index.html,"{'Price': '£17.46', 'Category': 'Young Adult', 'Rating': 'Five stars', 'Availability': 'In stock (19 available)'}"
Shakespeare's Sonnets,https://books.toscrape.com/catalogue/shakespeares-sonnets_989/index.html,"{'Price': '£20.66', 'Category': 'Poetry', 'Rating': 'Four stars', 'Availability': 'In stock (19 available)'}"
The Black Maria,https://books.toscrape.com/catalogue/the-black-maria_991/index.html,"{'Price': '£52.15', 'Category': 'Poetry', 'Rating': 'One stars', 'Availability': 'In stock (19 available)'}"
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",https://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html,"{'Price': '£17.93', 'Category': 'Default', 'Rating': 'Three stars', 'Availability': 'In stock (19 available)'}"
"Starving Hearts (Triangular Trade Trilogy, #1)",https://books.toscrape.com/catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html,"{'Price': '£13.99', 'Category': 'Default', 'Rating': 'Two stars', 'Availability': 'In stock (19 available)'}"
The Dirty Little Secrets of Getting Your Dream Job,https://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html,"{'Price': '£33.34', 'Category': 'Business', 'Rating': 'Four stars', 'Availability': 'In stock (19 available)'}"
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,https://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html,"{'Price': '£22.60', 'Category': 'Default', 'Rating': 'Four stars', 'Availability': 'In stock (19 available)'}"
The Requiem Red,https://books.toscrape.com/catalogue/the-requiem-red_995/index.html,"{'Price': '£22.65', 'Category': 'Young Adult', 'Rating': 'One stars', 'Availability': 'In stock (19 available)'}"
Sapiens: A Brief History of Humankind,https://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html,"{'Price': '£54.23', 'Category': 'History', 'Rating': 'Five stars', 'Availability': 'In stock (20 available)'}"
Tipping the Velvet,https://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html,"{'Price': '£53.74', 'Category': 'Historical Fiction', 'Rating': 'One stars', 'Availability': 'In stock (20 available)'}"
Sharp Objects,https://books.toscrape.com/catalogue/sharp-objects_997/index.html,"{'Price': '£47.82', 'Category': 'Mystery', 'Rating': 'Four stars', 'Availability': 'In stock (20 available)'}"
Soumission,https://books.toscrape.com/catalogue/soumission_998/index.html,"{'Price': '£50.10', 'Category': 'Fiction', 'Rating': 'One stars', 'Availability': 'In stock (20 available)'}"
The Four Agreements: A Practical Guide to Personal Freedom,https://books.toscrape.com/catalogue/the-four-agreements-a-practical-guide-to-personal-freedom_970/index.html,"{'Price': '£17.66', 'Category': 'Spirituality', 'Rating': 'Five stars', 'Availability': 'In stock (18 available)'}"
